2017-06-05T08:39:27,291 | INFO  | qtp757633156-144 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,292 | INFO  | qtp757633156-103 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,292 | INFO  | qtp757633156-144 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
2017-06-05T08:39:27,292 | INFO  | qtp757633156-103 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
2017-06-05T08:39:27,292 | INFO  | qtp757633156-109 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,293 | INFO  | qtp757633156-109 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
2017-06-05T08:39:27,293 | INFO  | qtp757633156-141 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,294 | INFO  | qtp757633156-141 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
2017-06-05T08:39:27,303 | INFO  | qtp757633156-106 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,303 | INFO  | qtp757633156-106 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
2017-06-05T08:39:27,322 | INFO  | qtp757633156-102 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,322 | INFO  | qtp757633156-104 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,322 | INFO  | qtp757633156-102 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
2017-06-05T08:39:27,322 | INFO  | qtp757633156-104 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
2017-06-05T08:39:27,323 | INFO  | qtp757633156-107 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,323 | INFO  | qtp757633156-107 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
2017-06-05T08:39:27,359 | INFO  | qtp757633156-144 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,359 | INFO  | qtp757633156-142 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,359 | INFO  | qtp757633156-144 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
2017-06-05T08:39:27,360 | INFO  | qtp757633156-142 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
2017-06-05T08:39:27,441 | INFO  | qtp757633156-109 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,442 | INFO  | qtp757633156-103 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication attempt - karaf
2017-06-05T08:39:27,442 | INFO  | qtp757633156-109 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
2017-06-05T08:39:27,442 | INFO  | qtp757633156-103 | LogAuditLoginModule              | 34 - org.apache.karaf.jaas.modules - 4.1.1 | Authentication succeeded - karaf
